class,metric,mean,std
Truthful,precision,0.9305293148635752,0.021073077702540216
Truthful,recall,0.7953125,0.03255104164999947
Truthful,f1-score,0.8573786101441343,0.025007780210392207
Deceptive,precision,0.8217702559958745,0.024941365882360768
Deceptive,recall,0.940625,0.018221724671391562
Deceptive,f1-score,0.8770478345423633,0.01967592735252608
macro avg,precision,0.8761497854297249,0.020832096194498953
macro avg,recall,0.86796875,0.02201406688063339
macro avg,f1-score,0.8672132223432488,0.02228463094760868
